"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 56: 0063","Armenian Manuscripts","ark:/21198/zz0028xddh","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0063.tif","63","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xddh",""
"Manuscript No. 56: 0064","Armenian Manuscripts","ark:/21198/zz0028xdf1","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0064.tif","64","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdf1",""
"Manuscript No. 56: 0065","Armenian Manuscripts","ark:/21198/zz0028xdgj","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0065.tif","65","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdgj",""
"Manuscript No. 56: 0066","Armenian Manuscripts","ark:/21198/zz0028xdh2","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0066.tif","66","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdh2",""
"Manuscript No. 56: 0067","Armenian Manuscripts","ark:/21198/zz0028xdjk","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0067.tif","67","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdjk",""
"Manuscript No. 56: 0068","Armenian Manuscripts","ark:/21198/zz0028xdk3","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0068.tif","68","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdk3",""
"Manuscript No. 56: 0069","Armenian Manuscripts","ark:/21198/zz0028xdmm","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0069.tif","69","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdmm",""
"Manuscript No. 56: 0070","Armenian Manuscripts","ark:/21198/zz0028xdn4","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0070.tif","70","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdn4",""
"Manuscript No. 56: 0071","Armenian Manuscripts","ark:/21198/zz0028xdpn","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0071.tif","71","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdpn",""
"Manuscript No. 56: 0072","Armenian Manuscripts","ark:/21198/zz0028xdq5","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0072.tif","72","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdq5",""
"Manuscript No. 56: 0073","Armenian Manuscripts","ark:/21198/zz0028xdrp","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0073.tif","73","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdrp",""
"Manuscript No. 56: 0074","Armenian Manuscripts","ark:/21198/zz0028xds6","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0074.tif","74","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xds6",""
"Manuscript No. 56: 0075","Armenian Manuscripts","ark:/21198/zz0028xdtq","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0075.tif","75","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdtq",""
"Manuscript No. 56: 0076","Armenian Manuscripts","ark:/21198/zz0028xdv7","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0076.tif","76","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdv7",""
"Manuscript No. 56: 0077","Armenian Manuscripts","ark:/21198/zz0028xdwr","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0077.tif","77","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdwr",""
"Manuscript No. 56: 0078","Armenian Manuscripts","ark:/21198/zz0028xdx8","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0078.tif","78","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdx8",""
"Manuscript No. 56: 0079","Armenian Manuscripts","ark:/21198/zz0028xdzs","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0079.tif","79","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdzs",""
"Manuscript No. 56: 0080","Armenian Manuscripts","ark:/21198/zz0028xf0s","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0080.tif","80","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf0s",""
"Manuscript No. 56: 0081","Armenian Manuscripts","ark:/21198/zz0028xf19","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0081.tif","81","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf19",""
"Manuscript No. 56: 0082","Armenian Manuscripts","ark:/21198/zz0028xf2t","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0082.tif","82","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf2t",""
"Manuscript No. 56: 0083","Armenian Manuscripts","ark:/21198/zz0028xf3b","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0083.tif","83","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf3b",""
"Manuscript No. 56: 0084","Armenian Manuscripts","ark:/21198/zz0028xf4v","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0084.tif","84","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf4v",""
"Manuscript No. 56: 0085","Armenian Manuscripts","ark:/21198/zz0028xf5c","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0085.tif","85","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf5c",""
"Manuscript No. 56: 0086","Armenian Manuscripts","ark:/21198/zz0028xf6w","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0086.tif","86","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf6w",""
"Manuscript No. 56: 0087","Armenian Manuscripts","ark:/21198/zz0028xf7d","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0087.tif","87","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf7d",""
"Manuscript No. 56: 0088","Armenian Manuscripts","ark:/21198/zz0028xf8x","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0088.tif","88","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf8x",""
"Manuscript No. 56: 0089","Armenian Manuscripts","ark:/21198/zz0028xf9f","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0089.tif","89","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xf9f",""
"Manuscript No. 56: 0090","Armenian Manuscripts","ark:/21198/zz0028xfbz","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0090.tif","90","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xfbz",""
