"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_056.tif","56","","Page 54","","","","ark:/21198/n1x694","k180cx3t","ark:/21198/n1x694/k180cx3t","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/k180cx3t"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_057.tif","57","","Page 55","","","","ark:/21198/n1x695","1p96s798","ark:/21198/n1x695/1p96s798","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/1p96s798"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_058.tif","58","","Page 56","","","","ark:/21198/n1x696","4827xc6b","ark:/21198/n1x696/4827xc6b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/4827xc6b"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_059.tif","59","","Page 57","","","","ark:/21198/n1x697","bb78jf46","ark:/21198/n1x697/bb78jf46","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/bb78jf46"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_060.tif","60","","Page 58","","","","ark:/21198/n1x698","q4850297","ark:/21198/n1x698/q4850297","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/q4850297"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_061.tif","61","","Page 59","","","","ark:/21198/n1x699","0w01hz7n","ark:/21198/n1x699/0w01hz7n","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/0w01hz7n"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_062.tif","62","","Page 60","","","","ark:/21198/n1x700","cf43qc6f","ark:/21198/n1x700/cf43qc6f","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/cf43qc6f"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_063.tif","63","","Page 61","","","","ark:/21198/n1x701","03442k8d","ark:/21198/n1x701/03442k8d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/03442k8d"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_064.tif","64","","Page 62","","","","ark:/21198/n1x702","82332q47","ark:/21198/n1x702/82332q47","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/82332q47"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_065.tif","65","","Page 63","","","","ark:/21198/n1x703","6s74gx9v","ark:/21198/n1x703/6s74gx9v","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/6s74gx9v"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_066.tif","66","","Page 64","","","","ark:/21198/n1x704","53430h7j","ark:/21198/n1x704/53430h7j","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/53430h7j"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_067.tif","67","","Page 65","","","","ark:/21198/n1x705","2t111b7p","ark:/21198/n1x705/2t111b7p","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/2t111b7p"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_068.tif","68","","Page 66","","","","ark:/21198/n1x706","xd33c76r","ark:/21198/n1x706/xd33c76r","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/xd33c76r"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_069.tif","69","","Page 67","","","","ark:/21198/n1x707","h2389r6q","ark:/21198/n1x707/h2389r6q","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/h2389r6q"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_070.tif","70","","Page 68","","","","ark:/21198/n1x708","1m53q91w","ark:/21198/n1x708/1m53q91w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/1m53q91w"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_071.tif","71","","Page 69","","","","ark:/21198/n1x709","zg16dq9g","ark:/21198/n1x709/zg16dq9g","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/zg16dq9g"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_072.tif","72","","Page 70","","","","ark:/21198/n1x710","5771kf0x","ark:/21198/n1x710/5771kf0x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/5771kf0x"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_073.tif","73","","Page 71","","","","ark:/21198/n1x711","5h76tw04","ark:/21198/n1x711/5h76tw04","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/5h76tw04"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_074.tif","74","","Page 72","","","","ark:/21198/n1x712","5z324c1s","ark:/21198/n1x712/5z324c1s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/5z324c1s"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_075.tif","75","","Page 73","","","","ark:/21198/n1x713","qt623n4b","ark:/21198/n1x713/qt623n4b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/qt623n4b"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_076.tif","76","","Page 74","","","","ark:/21198/n1x714","rs75m44d","ark:/21198/n1x714/rs75m44d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/rs75m44d"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_077.tif","77","","Page 75","","","","ark:/21198/n1x715","2168r546","ark:/21198/n1x715/2168r546","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/2168r546"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_078.tif","78","","Page 76","","","","ark:/21198/n1x716","pp03hg2f","ark:/21198/n1x716/pp03hg2f","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/pp03hg2f"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_079.tif","79","","Page 77","","","","ark:/21198/n1x717","rk11hv6b","ark:/21198/n1x717/rk11hv6b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/rk11hv6b"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_080.tif","80","","Page 78","","","","ark:/21198/n1x718","v036466f","ark:/21198/n1x718/v036466f","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/v036466f"
