Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No.91: 0085,Armenian Manuscripts,ark:/21198/zz002922cc,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0085.tif,85,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922cc
Manuscript No.91: 0086,Armenian Manuscripts,ark:/21198/zz002922dw,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0086.tif,86,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922dw
Manuscript No.91: 0087,Armenian Manuscripts,ark:/21198/zz002922fd,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0087.tif,87,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922fd
Manuscript No.91: 0088,Armenian Manuscripts,ark:/21198/zz002922gx,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0088.tif,88,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922gx
Manuscript No.91: 0089,Armenian Manuscripts,ark:/21198/zz002922hf,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0089.tif,89,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922hf
Manuscript No.91: 0090,Armenian Manuscripts,ark:/21198/zz002922jz,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0090.tif,90,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922jz
Manuscript No.91: 0091,Armenian Manuscripts,ark:/21198/zz002922kg,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0091.tif,91,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922kg
Manuscript No.91: 0092,Armenian Manuscripts,ark:/21198/zz002922m0,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0092.tif,92,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922m0
Manuscript No.91: 0093,Armenian Manuscripts,ark:/21198/zz002922nh,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0093.tif,93,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922nh
Manuscript No.91: 0094,Armenian Manuscripts,ark:/21198/zz002922p1,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0094.tif,94,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922p1
