"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz001hh6jt","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6jt-1-master.tif","","","66","","","text","","","","","","page 045","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6jt"
"Picart (Bernard) Collection","ark:/21198/zz001hh6kb","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6kb-1-master.tif","","","67","","","text","","","","","","page 046","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6kb"
"Picart (Bernard) Collection","ark:/21198/zz001hh6mv","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6mv-1-master.tif","","","68","","","text","","","","","","page 047","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6mv"
"Picart (Bernard) Collection","ark:/21198/zz001hh6nc","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6nc-1-master.tif","","","69","","","text","","","","","","page 048","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6nc"
"Picart (Bernard) Collection","ark:/21198/zz001hh6pw","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6pw-1-master.tif","","","70","","","text","","","","","","page 049","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6pw"
"Picart (Bernard) Collection","ark:/21198/zz001hh6qd","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6qd-1-master.tif","","","71","","","text","","","","","","page 050","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6qd"
"Picart (Bernard) Collection","ark:/21198/zz001hh6rx","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6rx-1-master.tif","","","72","","","text","","","","","","page 051","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6rx"
"Picart (Bernard) Collection","ark:/21198/zz001hh6sf","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6sf-1-master.tif","","","73","","","text","","","","","","page 052","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6sf"
"Picart (Bernard) Collection","ark:/21198/zz001hh6tz","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6tz-1-master.tif","","","74","","","text","","","","","","page 053","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6tz"
"Picart (Bernard) Collection","ark:/21198/zz001hh6vg","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6vg-1-master.tif","","","75","","","text","","","","","","page 054","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6vg"
