"File Name","Item Sequence","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_082.tif","82","82","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/0n61bp9j","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F0n61bp9j",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_083.tif","83","83","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/qf80r406","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fqf80r406",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_084.tif","84","84","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/3d27mk6j","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F3d27mk6j",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_085.tif","85","85","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/jd37s12p","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fjd37s12p",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_086.tif","86","86","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/gb57s09n","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fgb57s09n",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_087.tif","87","87","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/p1254b24","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fp1254b24",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_088.tif","88","88","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/cg53nj39","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fcg53nj39",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_089.tif","89","89","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/wn22763z","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fwn22763z",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_090.tif","90","90","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/wr713s2h","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fwr713s2h",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_091.tif","91","91","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/hm51kp60","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fhm51kp60",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_092.tif","92","92","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/dh56gv9k","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fdh56gv9k",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_093.tif","93","93","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/j979027j","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fj979027j",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_094.tif","94","94","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/rm34139t","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Frm34139t",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_095.tif","95","95","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/rh267p60","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Frh267p60",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_096.tif","96","96","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/3r37qp4v","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F3r37qp4v",""
