"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz00295dhm","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_029v.tif","56","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dhm","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 29v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dj4","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_030r.tif","57","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dj4","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 30r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dkn","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_030v.tif","58","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dkn","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 30v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dm5","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_031r.tif","59","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dm5","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 31r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dnp","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_031v.tif","60","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dnp","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 31v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dp6","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_032r.tif","61","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dp6","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 32r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dqq","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_032v.tif","62","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dqq","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 32v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dr7","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_033r.tif","63","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dr7","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 33r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dsr","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_033v.tif","64","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dsr","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 33v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dt8","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_034r.tif","65","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dt8","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 34r","","","","","","","","","","","","succeeded",""
