Project Name,Item Ark,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Subject,Name.creator,Name.contributor,Name.interviewer,Name.subject,Name.interviewee,Name.photographer,Name.repository,Language,Alt ID.local,Format.medium,Title,Date.creation,Coverage.temporal,Description.abstract,Publisher.publisherName,Relation.isPartOf,Format.extent,Description.note,Source,Relation.relatedTo,AltTitle.uniform,Description.biographicalNote,Coverage.geographic,Description.tableOfContents,Publisher.placeOfOrigin
American College of Neuropsychopharmacology,ark:/21198/z10k40mb,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_082.tif,83,,,,,,,,,,,,,,,,,,,Page 82,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1vt3h25,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_083.tif,84,,,,,,,,,,,,,,,,,,,Page 83,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1r22r99,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_084.tif,85,,,,,,,,,,,,,,,,,,,Page 84,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1m920kz,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_085.tif,86,,,,,,,,,,,,,,,,,,,Page 85,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1gj17zk,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_086.tif,87,,,,,,,,,,,,,,,,,,,Page 86,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1bv96k4,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_087.tif,88,,,,,,,,,,,,,,,,,,,Page 87,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1738fxm,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_088.tif,89,,,,,,,,,,,,,,,,,,,Page 88,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z13b7q4d,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-4-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1zk76mn,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-5-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1tt6fvg,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-5-master_002.tif,2,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1q25q5x,ark:/21198/zz001hd6v4,,,Page,acnp\image\21198-zz001hd6v4-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1k94zh3,ark:/21198/zz001hd6v4,,,Page,acnp\image\21198-zz001hd6v4-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,
