Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject,Name.author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Alt ID.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Description.abstract
St Gall Manuscripts,ark:/21198/zz00294wfw,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_044_v.tif,88,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 44v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294wgd,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_045_r.tif,89,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 45r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294whx,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_045_v.tif,90,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 45v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294wjf,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_046_r.tif,91,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 46r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294wkz,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_046_v.tif,92,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 46v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294wmg,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_047_r.tif,93,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 47r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294wn0,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_047_v.tif,94,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 47v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294wph,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_048_r.tif,95,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 48r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294wq1,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_048_v.tif,96,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 48v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294wrj,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_049_r.tif,97,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 49r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294ws2,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_049_v.tif,98,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 49v,,,,,,,,,,,
