"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_009.tif","Page","Page 9","9","ark:/21198/z1932wzs","ark:/21198/z18w5q6m","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w5q6m"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_010.tif","Page","Page 10","10","ark:/21198/z1932wzs","ark:/21198/z1573nv2","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1573nv2"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_011.tif","Page","Page 11","11","ark:/21198/z1932wzs","ark:/21198/z11g2x39","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2x39"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_012.tif","Page","Page 12","12","ark:/21198/z1932wzs","ark:/21198/z1wq2dnf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2dnf"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_013.tif","Page","Page 13","13","ark:/21198/z1932wzs","ark:/21198/z1rz1nvt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz1nvt"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_014.tif","Page","Page 14","14","ark:/21198/z1932wzs","ark:/21198/z1n60x6q","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60x6q"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_015.tif","Page","Page 15","15","ark:/21198/z1932wzs","ark:/21198/z1hf05ht","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf05ht"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_016.tif","Page","Page 16","16","ark:/21198/z1932wzs","ark:/21198/z1cn9dsj","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9dsj"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_017.tif","Page","Page 17","17","ark:/21198/z1932wzs","ark:/21198/z1807cgv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1807cgv"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260725_001.tif","Page","Page 1","1","ark:/21198/z15f0vmb","ark:/21198/z1476mr4","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1476mr4"
