Item ARK,Parent ARK,Object Type,Title,Item Sequence,File Name,AltTitle.other,Thumbnail,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,Contributor,IIIF Manifest URL
ark:/21198/z1r22tbk,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Public Library: Opening Ceremony,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk39d3,Ephemera Collection,,"November 22, 1976",1976-11-22,13.1939,59.5432,Program of events for an Opening Ceremony exhibit marking the 10th anniversary of independence.,16.4 cm x 15.9 cm,2 pages,,invitations,,Collection C319|~|Box A-B|~|Folder 6,Barbados Public Library Service,,,Barbados,Barbados Public Library Service,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Anniversaries|~|Arts, Caribbean|~|Performances|~|Exhibitions",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r22tbk/manifest
ark:/21198/z1r22tc1,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Recital of Music at St. Mary's Church,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33vbk,Ephemera Collection,,"June 3, 1965",1965-06-03,13.1939,59.5432,"Program of music by the St. Mary's Church Choir under the direction of Lieut. W. C. Greasley of the Royal Barbados Police Force, held at the St. Mary's Church on June 3, 1965. Proceeds in aid of the choir's proposed tour of Dominica.",21.6 cm x 16.4 cm,2 pages,,programs (documents)|~|concert programs,,Collection C319|~|Box C-Ch,St. Mary's Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Arts and culture -- Music|~|Concerts|~|Police,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r22tc1/manifest
ark:/21198/z1r22tdg,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""In Commemoration of the 375th Anniversary of Bridgetown"": Lecture by Dr. David Browne",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm75gr,Ephemera Collection,,"July 15, 2003",2003-07-15,13.1939,59.5432,"Brochure for the lecture ""In Commemoration of the 375th Anniversary of Bridgetown"" delivered by Dr. David Browne. The lecture was part of the Bridgetown 2003 lecture series organized by the National Cultural Foundation, the Barbados Museum & Historical Society, and the UWI Department of History and Philosophy. The lecture took place on July 15, 2003 at Frank Collymore Hall.",21.6 cm x 13.9 cm,3 pages,,Brochures|~|Event programs|~|Lectures,,Collection C319|~|Box KQ|~|Folder 2,National Cultural Foundation|~|Barbados Museum & Historical Society|~|University of West Indies|~|Department of History and Philosophy,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Lectures|~|Anniversaries|~|Commemorations,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r22tdg/manifest
ark:/21198/z1r51hsb,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Easter Sunday Celebration,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1dtv,Ephemera Collection,,Between 1990 and 2010,1990/2010,13.1939,59.5432,"Invitation for Easter Sunday celebrations for all persons who were baptized, confirmed or married at St. Michael's Cathedral.",21.6 cm x 14 cm,2 pages,,fliers (printed matter)|~|invitations,,Collection C319|~|Box C-Ch,St. Michael's Cathedral Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Church work with families|~|Socioeconomic conditions and development--Community development,Saint Michael (Barbados),20th century/21st century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51hsb/manifest
ark:/21198/z1r51hts,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,BMA: Furniture '72,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16990c6,Ephemera Collection,,1972,1972,13.1939,59.5432,"Brochure for the exhibition of furniture manufacturers in Barbados held on July 17-22, 1972 at the Ursuline Convent.",22.5 x 10.5 cm,3 pages,,Brochures,,Collection C319|~|Box D-F,Barbados Manufacturers Association,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Furniture exhibitions|~|Furniture industry and trade|~|Manufacturers,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51hts/manifest
ark:/21198/z1r51hv7,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Barbados National Trust Open Houses 1978,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6dqk,Ephemera Collection,,1978,1978,13.1939,59.5432,"Brochure with timetable and description of ""Open Houses"" held at various properties on the island, organized by the Barbados National Trust during the months of January, February and March of 1978.",21.6 cm x 12.6 cm,6 pages,,Brochures|~|Event programs,,Collection C319|~|Box GHI|~|Folder 14,Barbados National Trust,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Tours|~|Historic sites|~|Barbados,,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51hv7/manifest
ark:/21198/z1r51hwp,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Walter Rodney Memorial Meeting,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1ncm,Ephemera Collection,,"June 27, 1980",1980-06-27,13.1939,59.5432,"Booklet containing the program for a memorial meeting in honor of Walter Rodney, organized by the Friends of Guyana Human Rights Association (FGHRA). The Association was established in Barbados in June 1980, after the assassination of Guyanese historian and politician Dr. Walter Rodney. The event took place on June 27, 1980, at the Ursuline Convent, Collymore Rock.",21.6 cm x 17.7 cm,4 pages,,programs (documents)|~|booklets,,Collection C320|~|Box RS|~|Folder 1,Friends of Guyana Human Rights Association (FGHRA),,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"West Indies, British--Politics and government|~|History--Autonomy and independence movements|~|Socioeconomic conditions and development -- Social justice|~|Guyana",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51hwp/manifest
ark:/21198/z1r8077h,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Celebration of the Holy Eucharist to Commemorate 150 Years of Public Library Service in Barbados,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4bhh,Ephemera Collection,,"October 19, 1997",1997-10-19,13.1939,59.5432,"Celebration of the Holy Eucharist to commemorate 150 years of Public Library Service in Barbados. Held at the St. Mary's Anglican Church, Bridgetown, on October 19, 1997. Contains info on St. Mary's Church, and the religious service (intro hymn, the collect for purity, the gospel, the sermon intercession, offerings, Communion, and dismissal).",20.5 cm x 14.5 cm,31 page,,booklets,,Collection C319|~|Box A-B|~|Folder 3,Barbados Public Library Service,,,Barbados,Barbados Public Library Service,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Anniversaries|~|Liturgies|~|Library,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r8077h/manifest
ark:/21198/z1r8078z,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Barbados School of Dancing: ""Dancing Display 1964""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28tz9,Ephemera Collection,,December 1964,1964-12,13.1939,59.5432,"Program for the ""Dancing Display 1964"" presented by the Barbados School of Dancing, outlining the casts and the pieces performed. The production took place at the St. Winifred's School hall.",15 x 19.5 cm,11 pages,,Dance programs,,Collection C319|~|Box D-F,Barbados School of Dancing,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Dance festivals|~|Dancing schools,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r8078z/manifest
ark:/21198/z1r8079d,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Queen Elizabeth Hospital: The Recovery Room Open Day,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9ctb,Ephemera Collection,,"May 26, 1971",1971-05-26,13.1939,59.5432,"Flyer for the open day of the Recovery Room at Queen Elizabeth Hospital that took place on May 26, 1971. The flyer contains information and statistics about the Recovery Room.",33.9 cm x 21.6 cm,2 pages,,Fliers,,Collection C319|~|Box KQ|~|Folder 19,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Hospitals,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r8079d/manifest
ark:/21198/z1r807bv,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Centre for Multi-Racial Studies - Programme of Lectures on ""The African Diaspora""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447hw1,Ephemera Collection,,Between 1968 and 1969,1968/1969,13.1939,59.5432,"Brochure containing the program of lectures on ""The African Diaspora"" at the Centre for Multi-Racial Studies, University of West Indies, Cave Hill, during 1968 or 1969. The Centre was a joint project of UWI with the University of Sussex.",21.7 cm x 16.4 cm,4 pages,,programs (documents)|~|brochures,,Collection C320|~|Box UY|~|Folder 1,"University of the West Indies (Cave Hill, Barbados). Centre for Multi-Racial Studies",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"University of the West Indies (Cave Hill, Barbados)|~|Education, Higher|~|Education -- Universities and colleges|~|Socioeconomic conditions and development -- Social justice",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r807bv/manifest
ark:/21198/z1rb8xk0,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"James Street Methodist Church: Sunday 17th March, 1991, Passion Sunday",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q838n4,Ephemera Collection,,"March 17, 1991",1991-03-17,13.1939,59.5432,"Program of service for the Passion Sunday, held at James Street Methodist Church on March 17, 1991, as well as announcements for various activities and events.",21.6 cm x 13.9 cm,4 pages,,programs (documents),,Collection C319|~|Box C-Ch,James Street Methodist Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Methodism|~|Church services|~|Methodist Church--Education,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rb8xk0/manifest
ark:/21198/z1rb8xmf,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"1970 Ceremony for the Presentation of Graduates, College of Arts & Science, UWI",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0ntj,Ephemera Collection,,"February 6, 1970",1970-02-06,13.1939,59.5432,"Booklet with program and information for the graduation ceremony of the College of Arts & Science at the University of West Indies, Cave Hill campus, Barbados. Contains names of the faculty and students. The event took place on February 6, 1970.",20.4 cm x 15.1 cm,10 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 9,"University of the West Indies (Cave Hill, Barbados)",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,School graduation|~|Commencements|~|Graduation ceremonies,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rb8xmf/manifest
ark:/21198/z1rb8xnw,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""One More River""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14767b6,Ephemera Collection,,May 1969,1969-05,13.1939,59.5432,"Booklet with the program and cast information for the play ""One More River"" by Beverley Cross presented by the Barbados Players' Green Room Theatre Club at St. Winifred's School between May 24-31, 1969.",25.4 cm x 18.3 cm,11 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 8,Barbados Players Green Room Theatre Club,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rb8xnw/manifest
ark:/21198/z1rf7n2m,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,St. Lucia Government Presentation for Carifesta '81,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk88cm,Ephemera Collection,,1981,1981-01-01/1981-12-31,13.1939,59.5432,"Booklet with information on St. Lucia's participation in art, dance, craft, cuisine, drama, folklore, music, literary arts during CARIFESTA '81. The booklet is dedicated to St. Lucian Derek Walcott. Derek Walcott was a poet and playwright who received many literary awards over the course of his career, including the Nobel Prize in Literature in 1992.",23 cm x 16.4 cm,18 pages,,programs (documents)|~|booklets,,Collection C319|~|Box C-Ch,Carifesta Organisation|~|Government of St. Lucia,,,St. Lucia,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Carifesta|~|St. Lucia|~|Performing arts festivals|~|Arts and culture -- Performing arts,,20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf7n2m/manifest
ark:/21198/z1rf7n32,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Institute of Paper Conservation Fifth International Conference Programme,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7w7t,Ephemera Collection,,July 2006,2006-07-01,13.1939,59.5432,"Program by The Institute of Paper Conservation Fifth International Conference, held in Edinburgh on July 26-29, 2006.",29.5 cm x 20.9 cm,7 pages,,programs (documents),,Box Ci-Cz|~|Folder 4,Institute of Paper Conservation,,,U.K.,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Congress and conventions|~|Associations, institutions, etc.|~|Conservation",England,21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf7n32/manifest
ark:/21198/z1rf7n4h,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,1982 Christ Church Foundation School Speech Day and Prize Giving,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321rv6,Ephemera Collection,,"March 30, 1982",1982-03-30,13.1939,59.5432,"Program for the Christ Church Foundation School Speech Day and prize-giving on March 30, 1982. Contains schedule and names of staff and students.",21.6 x 15.6 cm,11 pages,,Event programs,,Collection C319|~|Box GHI|~|Folder 4,Christ Church Girls' Foundation School,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Speeches|~|School orations|~|Awards and Prizes|~|Awards ceremonies|~|Barbados,Christ Church (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf7n4h/manifest
ark:/21198/z1rf7n5z,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"St. Winifred's School Presents: ""Aladdin""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7wn6,Ephemera Collection,,Between 1966 and 1971,1966/1971,13.1939,59.5432,"Booklet for the theatrical production ""Aladdin"" at St. Winifred's School. The theatrical play was produced in aid of the St. Winifred's School Building Fund. The booklet contains information on the play, pictures and names of performing students, and several advertisements of businesses supporting the school.",28.2 cm x 21.6 cm,64 pages,,Program booklets|~|Theater programs,,Collection C319|~|Box KQ|~|Folder 14,St. Winifred's School,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,School plays|~|Theater,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf7n5z/manifest
ark:/21198/z1rj6bhc,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,9th Annual Conference of Caribbean Historians,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2q8r,Ephemera Collection,,April 1977,1977-04-01,13.1939,59.5432,"The ninth annual conference of Caribbean historians was held at the University of West Indies, Cave Hill Campus, Barbados. It was jointly organized and sponsored by the Association of Caribbean Historians and the Department of History at UWI, Cave Hill. The brochure is in French and Spanish too.",22.9 cm x 10.9 cm,4 pages,,programs (documents),,Box Ci-Cz|~|Folder 3,Association of Caribbean Historians,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Congresses and conventions|~|Associations, institutions, etc.",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj6bhc/manifest
ark:/21198/z1rj6bjt,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,N.U.P.W.  Elections: Anderson Downes for 3rd Vice-President,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321s29,Ephemera Collection,,Between 1991 and 1992,1991/1992,13.1939,59.5432,Election campaign poster of Anderson Downes for the position of National Union of Public Workers (NUPW) 3rd Vice President.,28 cm x 21.6 cm,1 page,,Election posters|~|Campaign posters,,Collection C319|~|Box KQ|~|Folder 11,Anderson Downes,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Election campaigns|~|Labor unions|~|Public employees|~|Civil service--labor unions,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj6bjt/manifest
ark:/21198/z1rj6bk8,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Buy 2 Plays - Get 1 Free!""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1fmk,Ephemera Collection,,Between 1980 and 1985,1980/1985,13.1939,59.5432,"Booklet with the program and cast information about a dramatic production of three plays by the Barbados Players' Green Room Theatre Club. The plays were: ""The Missing Link,"" ""Red Carnations,"" and ""A Rogue in a Bed."" The performances took place in mid-1980s at the Queen's Park Theatre.",20.3 cm x 12.8 cm,8 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 6,Barbados Players Green Room Theatre Club,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj6bk8/manifest
ark:/21198/z1rn51tb,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,I Speak for the People: The Memoirs of Wynter Crawford Book Launch Programme,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k9542q,Ephemera Collection,,"April 14, 2003",2003-04-14,13.1939,59.5432,"Program for I Speak for the People: The Memoirs of Wynter Crawford held at the Grande Salle, Central Bank Barbados. Wynter Crawford (1910-1993) was the publisher and editor of the Barbados Observer newspaper but was more known for his involvement in politics. He was the founder and leader of the West Indies Nationl Congress Party and spent 26 years in Parliament. The memoirs offer insight to the personality of Crawford and information on his career.",21.5 cm x 14 cm,2 pages,,programs (documents)|~|invitations,,Collection C319|~|Box A-B|~|Folder 15,Nation Publishing Co. Limited|~|Ian Randle Publishers,,,Barbados,Nation Publishing Co. Limited; Ian Randle Publishers,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Books|~|Events|~|Biography,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn51tb/manifest
ark:/21198/z1rn51vs,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,A Service of Praise and Thanksgiving for the Life of Ferris Handel Cummins,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40pdw,Ephemera Collection,,"July 12, 2002",2002-07-12,13.1939,59.5432,"Booklet for the funeral service of Ferris Handel Cummins, late of 112 Lodge Terrace, St. Michael, held on Friday, July 12, 2002 at the James Street Methodist Church.",14 x 22 cm,17 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn51vs/manifest
ark:/21198/z1rn51w7,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""The Diary of Anne Frank""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4sjq,Ephemera Collection,,Between 1960 and 1970,1960/1970,13.1939,59.5432,"Booklet with the program and cast information for the dramatic adaptation of ""The Diary of Anne Frank"" presented by the Barbados Players' Green Room Theatre Club at St. Winifred's Concert Hall. No date provided.",23.1 cm x 15.4 cm,12 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 3,Barbados Players Green Room Theatre Club,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn51w7/manifest
ark:/21198/z1rr3r7p,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Invitation from the Governor and Lady Stow,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2h57,Ephemera Collection,,Between 1966 and 1968,1966/1968,13.1939,59.5432,"Invitation from His Excellency the Governor and Lady Stow for the Honourable E.W. and Mrs. Barrow for lunch, to have the honour of meeting Her Royal Highness The Princess Alice. Held on 25 January (no year).",10 cm x 12.6 cm,1 page,,invitations,,Collection C319|~|Box A-B|~|Folder 13,Governor - General's Office,,,Barbados,Governor - General's Office,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Luncheons|~|Prime ministers|~|Government,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rr3r7p/manifest
ark:/21198/z1rr3r84,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Song Recital by Eve Johnson,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj9d09,Ephemera Collection,,Between 1960 and 1970,1960/1970,13.1939,59.5432,Program for song recital by Even Johnson presented by the Music Club with accompanist Frank Fernandes. Location and date are not noted.,27.8 cm x 21.6 cm; 33 cm x 21.6 cm,3 pages,,programs (documents),,Box Ci-Cz|~|Folder 1,Music Club,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Concerts|~|Recital|~|Music,,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rr3r84/manifest
ark:/21198/z1rr3r9k,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Guide to The Procedures for the State Funeral of the Late Governor-General Her Excellency Dame Nita Barrow, GCMG, DA",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f49k0r,Ephemera Collection,,"December 29, 1995",1995-12-29,13.1939,59.5432,"Booklet-guide to procedures for the lying in state, funeral procession and state funeral of Dame Nita Barrow. Her Excellency Dame Nita Barrow was the Dame Grand Cross of the Most Distinguished Order of Saint Michael and Saint George, Dame of St. Andrew. She was the sister of former Prime Minister Errol Walton Barrow. Dame Nita was appointed in 1990 as Barbados’ first female governor general. In that post, she served as Queen Elizabeth II’s representative to this former British colony. Dame Nita was seventy-nine years old (1916-1995) and served as Governor General for five years (1990-1995). The funeral service was held at the James Street Methodist Church at 10:00 am.",14.5 x 21 cm,9 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rr3r9k/manifest
ark:/21198/z1rr3rb1,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Memorial Service for Frank A. Collymore O.B.E: Teacher, Actor, Poet, Painter & Editor",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001z70,Ephemera Collection,,"July 24, 1980",1980-07-24,13.1939,59.5432,"Program for the memorial service of thanksgiving for the life and work of Frank A. Collymore O.B.E. at St. Michael's Cathedral on July 24, 1980.",21.5 cm x 14 cm,8 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box KQ|~|Folder 6,St. Michael's Cathedral,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral services|~|Memorial services,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rr3rb1/manifest
ark:/21198/z1rv2frb,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Celebrity Concerts Presents Georgia Laster (American Soprano),,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8g10,Ephemera Collection,,"July 30, 1959",1959-07-30,13.1939,59.5432,"Program for the concert of Georgia Laster, soprano from the US, held at Ursuline Convent Hall on Thursday, July 30, 1959.",22.8 cm x 14.9 cm,27 pages,,programs (documents),,Box Ci-Cz|~|Folder 1,Celebrity Concerts,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Concerts|~|Music,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv2frb/manifest
ark:/21198/z1rv2fss,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Official Re-Opening of the National Library Service,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0vjt,Ephemera Collection,,"January 30, 2009",2009-01-30,13.1939,59.5432,"Program for the official re-opening of the National Library Service held on January 30, 2009, at Independence Square.",27.7 cm x 21.5 cm,3 pages,,Event programs,,Collection C319|~|Box KQ|~|Folder 3,National Library Service,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Ceremonies|~|Libraries--public services|~|Library public services,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv2fss/manifest
ark:/21198/z1rv2ft7,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Fourth Caribbean Jamboree Opening Ceremony,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz147676d,Ephemera Collection,,"July 29, 1972",1972-07-29,13.1939,59.5432,"Booklet containing the program of the opening ceremony for the 4th Caribbean Jamboree held on July 29, 1972. The event was attended by various dignitaries including the Governor-General and Prime Minister Errol Barrow. The President of the Barbados Boy Scouts Association at the time was Sir Williams Douglas. The Caribbean Scout Jamboree is a periodic gathering for boy scouts in the Caribbean.",25.2 cm x 18.9 cm,4 pages,,programs (documents)|~|booklets|~|meeting materials,,Collection C320|~|Box RS|~|Folder 10,Boy Scouts Association,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Scouts and scouting|~|Associations|~|Boy scouts,,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv2ft7/manifest
ark:/21198/z1rz152q,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Retro-Plus"": An Exhibition of Works by Mark Maynard",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7c5w,Ephemera Collection,,June 1990,1990-06-01/1990-06-30,13.1939,59.5432,"Booklet for ""Retro-Plus"", an exhibit of early and contemporary works by Mark Maynard. Held at the Queen's Park Gallery from June 2 - 29, 1990.",23 cm x 23 cm,13 pages,,exhibition catalogs,,Collection C319|~|Box A-B|~|Folder 8,National Cultural Foundation,,,Barbados,National Cultural Foundation,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Exhibitions|~|Arts, Caribbean|~|Painters in art",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rz152q/manifest
