"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.permission","Name.creator","Subject","Name.subject","Editor","Subject.conceptTopic","Subject geographic","Title","Date.creation","Format.extent","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"East Asian Library","ark:/21198/z1q830sm","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_076.tif","76","","","","","","","","","","","","","","Page 76","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q830sm",""
"East Asian Library","ark:/21198/z1kh27zj","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_077.tif","77","","","","","","","","","","","","","","Page 77","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh27zj",""
"East Asian Library","ark:/21198/z1fr1h6s","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_078.tif","78","","","","","","","","","","","","","","Page 78","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1h6s",""
"East Asian Library","ark:/21198/z1b00rht","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_079.tif","79","","","","","","","","","","","","","","Page 79","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b00rht",""
"East Asian Library","ark:/21198/z16700wt","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_080.tif","80","","","","","","","","","","","","","","Page 80","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16700wt",""
"East Asian Library","ark:/21198/z12j7zgj","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_081.tif","81","","","","","","","","","","","","","","Page 81","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j7zgj",""
"East Asian Library","ark:/21198/z1xs7g30","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_082.tif","82","","","","","","","","","","","","","","Page 82","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7g30",""
"East Asian Library","ark:/21198/z1t16qck","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_083.tif","83","","","","","","","","","","","","","","Page 83","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t16qck",""
"East Asian Library","ark:/21198/z1p85zkz","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_084.tif","84","","","","","","","","","","","","","","Page 84","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p85zkz",""
"East Asian Library","ark:/21198/z1jh56t5","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_085.tif","85","","","","","","","","","","","","","","Page 85","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh56t5",""
"East Asian Library","ark:/21198/z1dr4g5r","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_086.tif","86","","","","","","","","","","","","","","Page 86","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4g5r",""
"East Asian Library","ark:/21198/z1932dsr","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_087.tif","87","","","","","","","","","","","","","","Page 87","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932dsr",""
